State,Name,,ID,Mode,Vehicles Operated in Maximum Service,,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Actual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Annual Unlinked Passenger Trips,,Annual Passenger Miles,
,,,,Total,404,,496,,"11,564.2 ",,"22,158.9 ",,"20,046.1 ",,"1,386.7 ",,"1,284.3 ",,"22,304.7 ",,"131,094.3 ",
FL,Charlotte County Transit,,4129-B,DR,2,,2,,0.0 ,,8.3 ,,7.5 ,,0.8 ,,0.7 ,,3.6 ,,11.4 ,
,,,,DRp,11,,11,,0.0 ,,242.4 ,,198.5 ,,19.3 ,,17.9 ,,23.1 ,,68.9 ,
,,,,Total,13,,13,,0.0 ,,250.7 ,,206.0 ,,20.1 ,,18.5 ,,26.7 ,,80.3 ,
FL,City of Tallahassee,,4036-B,DR,10,,17,,0.0 ,,323.8 ,,282.4 ,,23.6 ,,21.8 ,,39.4 ,,267.9 ,
,,,,DRp,3,,3,,0.0 ,,31.2 ,,27.3 ,,2.8 ,,2.7 ,,9.1 ,,43.9 ,
,,,,MB,48,,58,,"1,695.3 ",,"1,732.2 ",,"1,629.5 ",,145.3 ,,138.7 ,,"3,934.4 ",,"9,836.2 ",
,,,,Total,61,,78,,"1,695.3 ",,"2,087.2 ",,"1,939.2 ",,171.7 ,,163.2 ,,"3,983.0 ",,"10,148.0 ",
FL,County of Volusia-VOTRAN,,4032-B,DR,39,,46,,0.0 ,,"1,413.8 ",,"1,233.6 ",,89.9 ,,80.4 ,,207.3 ,,"2,150.1 ",
,,,,DRp,39,,39,,0.0 ,,"1,159.0 ",,"1,159.0 ",,57.6 ,,57.6 ,,111.1 ,,"1,218.6 ",
,,,,MB,45,,56,,"2,456.6 ",,"2,600.6 ",,"2,445.3 ",,177.7 ,,170.3 ,,"3,800.9 ",,"15,421.1 ",
,,,,MBp,3,,3,,34.3 ,,59.8 ,,34.3 ,,2.0 ,Q,1.3 ,,17.0 ,,"1,021.1 ",
,,,,VP,11,,12,,0.0 ,,267.0 ,,267.0 ,,5.3 ,,5.3 ,,30.5 ,,"1,518.8 ",
,,,,Total,137,,156,,"2,490.9 ",,"5,500.2 ",,"5,139.2 ",,332.6 ,,314.9 ,,"4,166.9 ",,"21,329.7 ",
FL,Escambia Cnty Area Trans,,4038-B,DRp,12,,12,,0.0 ,,450.3 ,,444.9 ,,25.7 ,,24.9 ,,51.6 ,,444.9 ,
,,,,MB,38,,38,,"1,462.4 ",,"1,423.0 ",,"1,406.7 ",,101.6 ,,100.5 ,,"1,502.1 ",,"6,836.4 ",
,,,,Total,50,,50,,"1,462.4 ",,"1,873.2 ",,"1,851.6 ",,127.3 ,,125.4 ,,"1,553.7 ",,"7,281.3 ",
FL,Gainesville Regional TS,,4030-B,DRp,5,,5,,0.0 ,,227.0 ,,186.7 ,,14.7 ,,12.0 ,,37.3 ,,428.5 ,
,,,,MB,72,,82,,"2,022.2 ",,"2,130.0 ",,"1,960.7 ",,170.5 ,,161.1 ,,"6,303.0 ",,"14,748.9 ",
,,,,Total,77,,87,,"2,022.2 ",,"2,357.0 ",,"2,147.4 ",,185.3 ,,173.2 ,,"6,340.2 ",,"15,177.4 ",
FL,Hillsborough Area RTA,,4041-B,DR,24,,29,,0.0 ,,709.8 ,,500.6 ,,42.8 ,,36.2 ,,40.2 ,,291.8 ,
,,,,MB,171,,207,,"6,589.0 ",,"7,522.4 ",,"6,583.6 ",,562.4 ,,521.5 ,,"9,761.0 ",,"42,113.1 ",
,,,,VPp,6,,8,,0.0 ,,137.3 ,,115.7 ,,2.7 ,,2.7 ,,13.8 ,,459.4 ,
,,,,Total,201,,244,,"6,589.0 ",,"8,369.4 ",,"7,199.9 ",,607.8 ,,560.4 ,,"9,815.0 ",,"42,864.2 ",
FL,Indian River County COA,,4104-F,DR,18,,22,,0.0 ,,372.0 ,,345.8 ,,28.5 ,,27.0 ,,50.5 ,,332.3 ,
,,,,DRp,38,,111,,0.0 ,,458.1 ,,402.0 ,,34.4 ,,30.2 ,,199.8 ,,227.6 ,
,,,,MB,8,,12,,227.0 ,,232.2 ,,227.0 ,,20.4 ,,19.9 ,,155.1 ,,213.9 ,
,,,,Total,64,,145,,227.0 ,,"1,062.3 ",,974.8 ,,83.3 ,,77.0 ,,405.4 ,,773.7 ,
FL,Jacksonville Transp Auth,,4040-B,AG,6,,8,,265.1 ,,271.8 ,,263.7 ,,20.3 ,,20.0 ,,708.9 ,,285.8 ,
,,,,DRp,145,,145,,0.0 ,,"7,405.3 ",,"6,792.4 ",,399.0 ,,370.6 ,,496.8 ,,"7,387.0 ",
,,,,MB,145,,178,,"7,535.2 ",,"8,685.4 ",,"7,495.4 ",,573.2 ,,544.0 ,,"8,011.4 ",,"52,200.0 ",
,,,,Total,296,,331,,"7,800.4 ",,"16,362.6 ",,"14,551.4 ",,992.6 ,,934.6 ,,"9,217.1 ",,"59,872.8 ",
FL,Lakeland Area Transit Dst,,4031-B,DR,15,,15,,0.0 ,,511.9 ,,470.6 ,,38.9 ,,36.3 ,,124.1 ,,987.1 ,
,,,,MB,25,,26,,"1,303.1 ",,"1,318.7 ",,"1,303.1 ",,80.5 ,,79.6 ,,"1,388.5 ",,"5,188.2 ",
,,,,Total,40,,41,,"1,303.1 ",,"1,830.5 ",,"1,773.8 ",,119.4 ,,115.9 ,,"1,512.7 ",,"6,175.3 ",
FL,Lee County Transit,,4028-B,DRp,20,,24,,0.0 ,,729.5 ,,640.6 ,,49.6 ,,43.4 ,,104.0 ,,895.5 ,
,,,,MB,43,,58,,"2,851.1 ",,"3,017.2 ",,"2,819.7 ",,187.7 ,,175.8 ,,"2,318.3 ",,"12,774.2 ",
,,,,Total,63,,82,,"2,851.1 ",,"3,746.7 ",,"3,460.4 ",,237.4 ,,219.2 ,,"2,422.3 ",,"13,669.6 ",
FL,Manatee Cnty Area Transit,,4026-B,DR,19,,19,,0.0 ,,519.5 ,,483.9 ,,36.1 ,,33.9 ,,104.2 ,,"1,187.5 ",
,,,,DRp,17,,20,,0.0 ,,458.0 ,,458.0 ,,35.8 ,,35.8 ,,24.5 ,,194.7 ,
,,,,MB,13,,16,,721.0 ,,764.8 ,,721.0 ,,48.4 ,,46.1 ,,742.5 ,,"2,465.1 ",
,,,,Total,49,,55,,721.0 ,,"1,742.3 ",,"1,662.9 ",,120.3 ,,115.8 ,,871.2 ,,"3,847.3 ",
FL,Martin Cnty Council Aging,,4113-G,DR,21,,32,,0.0 ,,419.5 ,,335.5 ,,46.5 ,,37.0 ,,105.3 ,,337.8 ,
FL,Miami-Dade Transit Agency,,4034-B,AG,16,,29,,"1,000.2 ",,"1,004.2 ",,973.7 ,,92.2 ,,89.4 ,,"4,856.2 ",,"5,095.8 ",
,,,,HR,86,,136,,"6,300.8 ",,"7,433.0 ",,"7,162.3 ",,336.9 ,,311.2 ,,"13,735.3 ",,"107,648.8 ",
,,,,MB,547,,732,,"26,206.7 ",,"29,365.8 ",,"25,175.8 ",,"2,158.2 ",,"1,968.7 ",,"65,413.7 ",,"283,461.5 ",
,,,,Total,649,,897,,"33,507.7 ",,"37,803.0 ",,"33,311.8 ",,"2,587.2 ",,"2,369.4 ",,"84,005.2 ",,"396,206.0 ",
FL,Okaloosa County,,4128-B,DRp,39,,47,,0.0 ,,912.3 ,,762.6 ,,52.8 ,,44.7 ,,131.3 ,,974.8 ,
,,,,MBp,3,,4,,127.5 ,,128.9 ,,128.4 ,,8.9 ,,8.6 ,,27.7 ,,0.0 ,W
,,,,Total,42,,51,,127.5 ,,"1,041.2 ",,891.1 ,,61.7 ,,53.3 ,,158.9 ,,974.8 ,Q
FL,Palm Tran,,4037-B,DRp,186,,225,,0.0 ,,"5,255.8 ",,"4,270.2 ",,401.2 ,,359.8 ,,371.8 ,,"3,574.0 ",
,,,,MB,106,,121,,"5,912.2 ",,"6,550.6 ",,"5,904.3 ",,410.3 ,,352.8 ,,"5,835.1 ",,"34,482.1 ",
,,,,MBp,7,,9,,123.4 ,,128.0 ,,114.3 ,,12.9 ,,11.5 ,,90.2 ,,440.0 ,
,,,,Total,299,,355,,"6,035.6 ",,"11,934.4 ",,"10,288.7 ",,824.4 ,,724.0 ,,"6,297.2 ",,"38,496.1 ",
FL,Pasco County Public Trans,,4074-B,DR,19,,28,,0.0 ,,368.6 ,,258.5 ,,19.6 ,,14.8 ,,57.3 ,,404.7 ,
,,,,DRp,20,,25,,0.0 ,,135.1 ,,132.6 ,,6.9 ,,6.7 ,,18.9 ,,168.3 ,
,,,,MB,14,,18,,619.5 ,,641.6 ,,594.6 ,,37.0 ,,34.2 ,,271.8 ,,"1,304.8 ",
,,,,Total,53,,71,,619.5 ,,"1,145.3 ",,985.7 ,,63.5 ,,55.7 ,,348.0 ,,"1,877.8 ",
FL,Pinellas Suncoast Transit,,4027-B,DRp,65,,65,,0.0 ,,"2,031.7 ",,"1,828.6 ",,95.3 ,,85.8 ,,242.4 ,,"2,031.7 ",
,,,,MB,122,,171,,"7,198.4 ",,"7,936.6 ",,"7,198.4 ",,520.3 ,,491.5 ,,"9,372.8 ",,"39,636.7 ",
,,,,Total,187,,236,,"7,198.4 ",,"9,968.3 ",,"9,026.9 ",,615.6 ,,577.4 ,,"9,615.2 ",,"41,668.5 ",
FL,Polk County,,4127-B,DR,28,,28,,0.0 ,,624.2 ,,418.2 ,,111.4 ,Q,74.6 ,Q,31.8 ,,418.2 ,
,,,,MB,7,,7,,114.0 ,,142.5 ,,114.0 ,,13.5 ,,10.8 ,,18.4 ,,114.0 ,
,,,,MBp,4,,4,,257.7 ,,303.6 ,,257.7 ,,18.8 ,,15.7 ,,134.1 ,,257.7 ,
,,,,Total,39,,39,,371.7 ,,"1,070.3 ",,789.9 ,,143.7 ,,101.2 ,,184.4 ,,789.9 ,
FL,Sarasota County TA,,4046-B,DR,32,,34,,0.0 ,,593.0 ,,476.9 ,,38.5 ,,30.6 ,,73.4 ,,780.3 ,
,,,,DRp,32,,38,,0.0 ,,988.6 ,,854.4 ,,73.2 ,,63.1 ,,79.7 ,,746.9 ,
,,,,MB,29,,49,,"1,591.0 ",,"1,709.1 ",,"1,588.7 ",,113.8 ,,105.8 ,,"1,674.6 ",,"10,717.1 ",
,,,,Total,93,,121,,"1,591.0 ",,"3,290.8 ",,"2,920.0 ",,225.5 ,,199.5 ,,"1,827.6 ",,"12,244.3 ",
FL,Space Coast Area Transit,,4063-B,DR,28,,36,,0.0 ,,878.6 ,,732.4 ,,68.2 ,,55.4 ,,217.8 ,,"2,765.3 ",
,,,,DRp,75,,89,,0.0 ,,"1,611.7 ",,"1,476.7 ",,106.7 ,,101.0 ,,326.6 ,,"7,262.8 ",
,,,,MB,17,,21,,703.8 ,,757.4 ,,703.8 ,,38.3 ,,35.7 ,,336.9 ,,"2,087.4 ",
,,,,VPp,35,,42,,0.0 ,,"1,056.3 ",,"1,056.3 ",,18.3 ,,18.3 ,,138.2 ,,"7,233.0 ",
,,,,Total,155,,188,,703.8 ,,"4,304.0 ",,"3,969.2 ",,231.4 ,,210.3 ,,"1,019.5 ",,"19,348.5 ",
FL,St Lucie Council on Aging,,4097-G,DR,20,,37,,0.0 ,,606.7 ,,536.6 ,,36.9 ,,33.6 ,,153.4 ,,588.6 ,
,,,,DRp,1,,1,,0.0 ,,25.2 ,,22.3 ,,4.4 ,,4.0 ,,3.7 ,,24.5 ,
,,,,Total,21,,38,,0.0 ,,631.9 ,,558.9 ,,41.3 ,,37.6 ,,157.0 ,,613.1 ,
FL,SunTran,,4120-B,DRp,2,,2,,0.0 ,,43.7 ,,41.7 ,,7.1 ,,6.6 ,,8.1 ,,41.7 ,
,,,,MBp,5,,7,,315.5 ,,332.9 ,,315.5 ,,19.9 ,,19.3 ,,205.9 ,,"1,036.7 ",
,,,,Total,7,,9,,315.5 ,,376.6 ,,357.1 ,,27.0 ,,25.9 ,,214.1 ,,"1,078.3 ",
FL,Tri-County Commuter Rail,,4077-B,CRp,20,,30,,"2,020.7 ",,"2,090.2 ",,"2,022.2 ",,58.3 ,,56.2 ,,"2,543.5 ",,"77,380.4 ",
GA,Albany Transit System,,4021-A,DR,4,,10,,0.0 ,,180.0 ,,168.7 ,,14.6 ,,13.2 ,,29.2 ,,124.2 ,
,,,,MB,8,,16,,475.7 ,,480.9 ,,475.4 ,,39.9 ,,36.1 ,,692.5 ,,"2,680.0 ",
,,,,Total,12,,26,,475.7 ,,660.9 ,,644.1 ,,54.6 ,,49.2 ,,721.7 ,,"2,804.2 ",
GA,Athens Transit System,,4047-A,DR,3,,4,,0.0 ,,101.1 ,,78.9 ,,7.5 ,,6.4 ,,12.7 ,,81.5 ,
,,,,MB,17,,21,,550.8 ,,604.6 ,,550.8 ,,42.1 ,,39.5 ,,"1,478.9 ",,"3,052.8 ",
,,,,Total,20,,25,,550.8 ,,705.7 ,,629.7 ,,49.6 ,,45.9 ,,"1,491.7 ",,"3,134.2 ",
GA,Augusta Richmond Co TD,,4023-A,DR,4,Q,5,,0.0 ,,69.0 ,Q,36.5 ,,7.9 ,,3.0 ,,32.4 ,,51.4 ,
,,,,MB,18,,27,,675.6 ,,738.7 ,Q,674.0 ,,56.0 ,Q,55.2 ,Q,"1,317.4 ",,"4,051.5 ",
,,,,Total,22,,32,,675.6 ,,807.6 ,,710.6 ,,63.9 ,,58.1 ,,"1,349.8 ",,"4,102.9 ",
GA,Chatham Area Transit Auth,,4025-B,DRp,13,,16,,0.0 ,,502.7 ,,475.4 ,,36.8 ,,34.8 ,,60.8 ,,466.5 ,
,,,,MB,45,,61,,"2,428.3 ",,"2,486.9 ",,"2,415.6 ",,182.1 ,,177.7 ,,"3,488.7 ",,"11,798.6 ",
,,,,Total,58,,77,,"2,428.3 ",,"2,989.6 ",,"2,891.0 ",,218.9 ,,212.5 ,,"3,549.5 ",,"12,265.2 ",
GA,Cobb Community Transit,,4078-B,DRp,12,,15,,0.0 ,,561.9 ,,561.9 ,,28.2 ,,28.2 ,,60.1 ,,673.1 ,
,,,,MBp,44,,53,,"2,022.9 ",,"2,204.9 ",,"2,009.7 ",,133.7 ,,121.6 ,,"2,819.7 ",,"22,784.7 ",
,,,,Total,56,,68,,"2,022.9 ",,"2,766.7 ",,"2,571.6 ",,161.9 ,,149.8 ,,"2,879.9 ",,"23,457.9 ",
GA,Columbus Transit System,,4024-A,DR,4,,7,,0.0 ,,157.9 ,,157.9 ,,10.5 ,,10.5 ,,16.8 ,,145.4 ,
,,,,MB,18,,30,,960.3 ,,960.3 ,,960.3 ,,66.0 ,,66.0 ,,867.7 ,,"3,661.6 ",
,,,,Total,22,,37,,960.3 ,,"1,118.2 ",,"1,118.2 ",,76.5 ,,76.5 ,,884.5 ,,"3,807.0 ",
GA,Douglas County Rideshare,,4082-A,VP,24,,24,,0.0 ,,319.6 ,,266.3 ,,7.5 ,Q,6.9 ,,56.3 ,,"1,467.0 ",
GA,Metro Atlanta RTA,,4022-A,DR,77,,90,,0.0 ,,"2,982.7 ",,"2,392.7 ",,184.3 ,,138.2 ,,191.8 ,,"1,998.9 ",
,,,,HR,186,,252,,"24,222.7 ",,"23,239.7 ",,"22,665.2 ",,880.5 ,,861.2 ,,"82,388.6 ",,"563,016.8 ",
,,,,MB,603,,712,,"27,240.2 ",,"32,041.7 ",,"27,261.8 ",,"2,402.2 ",,"2,182.6 ",,"81,497.1 ",,"284,492.1 ",
,,,,Total,866,,"1,054",,"51,462.9 ",,"58,264.0 ",,"52,319.6 ",,"3,467.0 ",,"3,182.0 ",,"164,077.6 ",,"849,507.9 ",
GA,Rome Transit Department,,4058-A,DR,1,,3,,0.0 ,,40.4 ,,39.7 ,,5.1 ,Q,4.4 ,,8.2 ,,37.4 ,
,,,,MB,21,,34,,466.4 ,,467.7 ,,466.4 ,,29.4 ,,24.3 ,,943.9 ,,"3,129.6 ",
,,,,Total,22,,37,,466.4 ,,508.2 ,,506.1 ,,34.6 ,,28.7 ,,952.1 ,,"3,167.0 ",
HI,City&County of Honolulu,,9002-B,DR,102,,110,,0.0 ,,"5,228.0 ",,"4,247.1 ",,348.0 ,,276.8 ,,702.9 ,,"9,592.0 ",
,,,,DRp,25,,25,,0.0 ,,159.4 ,,159.4 ,,9.6 ,,9.6 ,,27.9 ,,174.4 ,
,,,,MB,442,,529,,"18,784.6 ",,"21,710.8 ",,"18,568.7 ",,"1,458.8 ",,"1,339.6 ",,"70,384.0 ",,"351,624.0 ",
,,,,Total,569,,664,,"18,784.6 ",,"27,098.2 ",,"22,975.2 ",,"1,816.4 ",,"1,626.0 ",,"71,114.8 ",,"361,390.4 ",
HI,Honolulu-VPSI,,9176-D,VP,159,,186,,0.0 ,,"2,117.0 ",,"2,117.0 ",,78.9 ,,78.9 ,,404.5 ,,"9,181.0 ",
IA,Bettendorf Transit System,,7007-B,DRp,1,,1,,0.0 ,,39.4 ,,28.5 ,,3.8 ,,3.5 ,,6.1 ,,25.0 ,
,,,,MB,4,,6,,230.4 ,,230.4 ,,230.4 ,,13.2 ,,13.2 ,,122.2 ,,374.4 ,
,,,,MBp,2,,2,,16.5 ,,18.3 ,,16.5 ,,1.1 ,,1.0 ,,6.0 ,,18.5 ,
,,,,Total,7,,9,,246.9 ,,288.1 ,,275.3 ,,18.0 ,,17.7 ,,134.3 ,,417.9 ,
IA,Black Hawk Cnty Metro,,7013-B,DR,15,,19,,0.0 ,,368.6 ,,245.5 ,,27.5 ,,15.9 ,,84.0 ,,407.6 ,
,,,,DRp,11,,11,,0.0 ,,133.0 ,,133.0 ,,8.8 ,,8.8 ,,51.7 ,,305.2 ,
,,,,MB,11,,18,,447.3 ,,459.0 ,,447.3 ,,31.9 ,,30.8 ,,362.3 ,,"1,902.4 ",
,,,,Total,37,,48,,447.3 ,,960.5 ,,825.8 ,,68.2 ,,55.5 ,,498.1 ,,"2,615.2 ",
IA,City of Dubuque,,7011-B,DRp,6,,6,,0.0 ,,153.1 ,,152.5 ,,13.0 ,,13.0 ,,47.8 ,,152.5 ,
,,,,Total,14,,18,,215.1 ,,374.8 ,,367.6 ,,37.0 ,,36.2 ,,404.8 ,,"1,251.2 ",
IA,Davenport Public Transit,,7009-B,DRp,4,,4,,0.0 ,,149.2 ,,139.1 ,,11.2 ,,10.7 ,,31.9 ,,139.0 ,
,,,,MB,16,,19,,682.1 ,,711.0 ,,674.5 ,,54.7 ,,52.5 ,,992.8 ,,"3,055.7 ",
,,,,Total,20,,23,,682.1 ,,860.2 ,,813.6 ,,65.9 ,,63.2 ,,"1,024.8 ",,"3,194.7 ",
IA,Des Moines Metro Transit,,7010-A,DR,20,,35,,0.0 ,,828.9 ,,728.1 ,,55.6 ,,48.4 ,,194.4 ,,"1,560.9 ",
,,,,MB,84,,114,,"1,963.9 ",,"2,302.5 ",,"1,985.9 ",,168.9 ,,147.6 ,,"3,709.4 ",,"13,312.0 ",
,,,,VP,63,,83,,0.0 ,,"1,297.4 ",,"1,297.4 ",,27.9 ,,27.9 ,,206.2 ,,"8,630.7 ",
,,,,Total,167,,232,,"1,963.9 ",,"4,428.8 ",,"4,011.4 ",,252.4 ,,223.9 ,,"4,110.0 ",,"23,503.5 ",
IA,Five Seasons Transportati,,7008-B,DRp,20,,33,,0.0 ,,289.0 ,,273.3 ,,17.7 ,,16.3 ,,64.3 ,,411.5 ,
,,,,MB,37,,45,,984.4 ,,"1,017.0 ",,979.8 ,,78.2 ,,75.8 ,,"1,078.8 ",,"4,207.4 ",
,,,,Total,57,,78,,984.4 ,,"1,306.0 ",,"1,253.2 ",,95.9 ,,92.1 ,,"1,143.1 ",,"4,618.9 ",
IA,Iowa City Transit,,7018-B,DRp,9,,9,,0.0 ,,180.7 ,,170.8 ,,15.6 ,,14.9 ,,48.8 ,,156.9 ,
,,,,MB,17,,21,,562.1 ,,581.7 ,,547.0 ,,46.8 ,,45.0 ,,"1,314.9 ",,"2,504.9 ",
,,,,Total,26,,30,,562.1 ,,762.3 ,,717.7 ,,62.5 ,,59.9 ,,"1,363.7 ",,"2,661.8 ",
IA,Sioux City Transit,,7012-B,DRp,9,,9,,0.0 ,,200.2 ,,200.2 ,,14.1 ,,14.1 ,,27.8 ,,281.8 ,
,,,,MB,19,,28,,588.2 ,,645.7 ,,588.2 ,,47.9 ,,46.0 ,,"1,241.3 ",,"4,219.7 ",
,,,,Total,28,,37,,588.2 ,,845.9 ,,788.4 ,,62.0 ,,60.1 ,,"1,269.1 ",,"4,501.6 ",
IA,University of Iowa,,7019-A,DR,3,,5,,0.0 ,,51.3 ,,49.1 ,,10.5 ,,10.1 ,,8.9 ,,19.7 ,
,,,,MB,19,,26,,613.0 ,,632.0 ,,606.3 ,,62.0 ,,59.1 ,,"3,389.5 ",,"3,791.0 ",
,,,,Total,22,,31,,613.0 ,,683.3 ,,655.4 ,,72.6 ,,69.2 ,,"3,398.4 ",,"3,810.7 ",
ID,Boise Urban Stages,,0011-A,DR,6,,8,,0.0 ,,191.3 ,,166.1 ,,13.9 ,,12.4 ,,28.8 ,,165.5 ,
,,,,MB,30,,40,,969.3 ,,"1,140.8 ",,967.2 ,,79.6 ,,71.6 ,,"1,107.4 ",,"4,954.3 ",
,,,,Total,36,,48,,969.3 ,,"1,332.0 ",,"1,133.3 ",,93.5 ,,84.0 ,,"1,136.2 ",,"5,119.8 ",
ID,Pocatello Regional Trans,,0022-A,DR,6,,8,,0.0 ,,171.2 ,,159.2 ,,14.2 ,,13.4 ,,41.6 ,,133.4 ,
,,,,MB,8,,16,,278.2 ,,285.9 ,,277.9 ,,21.8 ,,21.5 ,,391.3 ,,"1,945.0 ",
,,,,Total,14,,24,,278.2 ,,457.2 ,,437.1 ,,36.0 ,,34.9 ,,432.9 ,,"2,078.3 ",
ID,Targhee Reg. Public TA,,0042-B,DRp,13,,13,,0.0 ,,179.9 ,,179.9 ,,13.0 ,,13.0 ,,58.5 ,,179.9 ,Q
,,,,MBp,4,,4,,103.0 ,,103.0 ,,103.0 ,,8.6 ,,8.6 ,,55.1 ,,103.0 ,Q
,,,,Total,17,,17,,103.0 ,,282.9 ,,282.9 ,,21.6 ,,21.6 ,,113.6 ,,282.9 ,
IL,Bloomington-Normal Public,,5047-A,DR,3,,5,,0.0 ,,112.0 ,,111.7 ,,7.7 ,,7.4 ,,25.3 ,,124.7 ,
,,,,MB,15,,20,,667.0 ,,694.6 ,,667.0 ,,56.5 ,,54.1 ,,810.0 ,,"2,570.4 ",
,,,,Total,18,,25,,667.0 ,,806.6 ,,778.8 ,,64.2 ,,61.5 ,,835.2 ,,"2,695.1 ",
IL,Champaign-Urbana MTD,,5060-B,DR,4,,5,,0.0 ,,84.9 ,,77.0 ,,12.3 ,,11.7 ,,50.1 ,,72.5 ,
,,,,DRp,12,,12,,0.0 ,,111.6 ,,105.2 ,,14.3 ,,13.9 ,,38.7 ,,139.0 ,
,,,,MB,73,,89,,"2,346.2 ",,"2,595.0 ",,"2,494.3 ",,220.5 ,,214.8 ,,"10,003.8 ",,"27,391.8 ",
,,,,Total,89,,106,,"2,346.2 ",,"2,791.4 ",,"2,676.5 ",,247.1 ,,240.5 ,,"10,092.5 ",,"27,603.4 ",
IL,Chicago Transit Authority,,5066-B,DRp,620,,775,,0.0 ,,"8,524.5 ",,"8,524.5 ",,891.9 ,,891.9 ,,"1,437.9 ",,"11,922.8 ",
,,,,HR,988,,"1,190",,"57,989.7 ",,"57,952.5 ",,"57,653.2 ",,"3,554.8 ",,"2,819.5 ",,"181,692.2 ",,"1,009,234.0 ",
,,,,MB,"1,627",,"1,919",,"63,878.2 ",,"64,673.1 ",,"63,758.2 ",,"6,518.4 ",,"6,406.4 ",,"301,690.7 ",,"749,617.1 ",
,,,,Total,"3,235",,"3,884",,"121,867.9 ",,"131,150.0 ",,"129,936.0 ",,"10,965.0 ",,"10,117.9 ",,"484,820.8 ",,"1,770,773.9 ",
IL,Decatur Public Transit,,5061-B,DRp,32,,33,,0.0 ,,78.5 ,Q,30.2 ,Q,6.5 ,Q,2.0 ,Q,50.0 ,,34.1 ,
,,,,MB,22,,24,,719.3 ,,679.7 ,,647.9 ,,41.4 ,,40.4 ,,824.6 ,,"2,383.0 ",
,,,,Total,54,,57,,719.3 ,,758.1 ,Q,678.2 ,Q,47.9 ,Q,42.5 ,Q,874.6 ,,"2,417.1 ",
IL,Greater Peoria Transit,,5056-B,DRp,22,,23,,0.0 ,,312.8 ,Q,272.0 ,Q,26.9 ,Q,21.3 ,Q,92.7 ,Q,932.0 ,Q
,,,,MB,42,,57,,"1,370.4 ",,"2,054.4 ",Q,"1,464.4 ",Q,112.1 ,Q,83.9 ,,"1,781.2 ",,"11,295.5 ",
,,,,Total,64,,80,,"1,370.4 ",,"2,367.1 ",Q,"1,736.4 ",Q,139.0 ,Q,105.2 ,Q,"1,873.9 ",Q,"12,227.5 ",Q
IL,Laidlaw Transit,,5153-D,DR,104,,128,,0.0 ,,"3,432.5 ",,"2,607.5 ",,269.0 ,,204.8 ,,544.3 ,,"3,211.3 ",
IL,Madison County Trans Dist,,5146-B,DRp,33,,36,,0.0 ,,"1,349.7 ",,"1,171.6 ",,75.2 ,,67.5 ,,141.8 ,,"1,234.4 ",
,,,,MBp,59,,76,,"2,588.4 ",,"3,187.1 ",,"2,588.4 ",,170.8 ,,149.0 ,,"1,837.1 ",,"11,931.6 ",
,,,,VPp,39,,58,,0.0 ,,691.4 ,,691.4 ,,18.6 ,,18.6 ,,118.4 ,,"5,167.3 ",
,,,,Total,131,,170,,"2,588.4 ",,"5,228.2 ",,"4,451.3 ",,264.5 ,,235.2 ,,"2,097.3 ",,"18,333.4 ",
IL,NE IL Regnl Comm RR Corp,,5118-A,CR,995,,"1,079",,"35,838.4 ",,"39,024.8 ",,"36,939.8 ",,"1,235.4 ",,"1,186.1 ",,"72,121.8 ",,"1,577,183.7 ",
IL,"Pace, Suburban Bus Div",,5113-B,DR,10,,10,,0.0 ,,123.1 ,,103.4 ,,6.9 ,,6.0 ,,35.5 ,,213.5 ,
,,,,DRp,191,,205,,0.0 ,,"5,105.6 ",,"4,390.1 ",,356.2 ,,305.5 ,,938.0 ,,"5,646.0 ",
,,,,MB,473,,526,,"17,754.2 ",,"22,192.4 ",,"17,754.2 ",,"1,456.5 ",,"1,266.2 ",,"31,080.7 ",,"177,377.7 ",
,,,,MBp,137,,162,,"2,607.5 ",,"3,212.8 ",,"2,606.5 ",,205.3 ,,171.6 ,,"3,240.8 ",,"23,470.1 ",
,,,,VP,384,,490,,0.0 ,,"6,462.7 ",,"6,462.7 ",,207.5 ,,207.5 ,,"1,132.2 ",,"37,718.1 ",
,,,,Total,"1,195",,"1,393",,"20,361.7 ",,"37,096.6 ",,"31,316.8 ",,"2,232.5 ",,"1,956.8 ",,"36,427.2 ",,"244,425.4 ",
IL,Pekin Municipal Bus Svc,,5065-A,MB,2,,4,,74.1 ,,76.1 ,,73.8 ,,4.8 ,,4.5 ,,26.7 ,,114.2 ,
IL,Rock Island County MTD,,5057-B,DR,2,,9,,0.0 ,,4.5 ,,2.9 ,,0.6 ,,0.5 ,,0.5 ,,1.7 ,
,,,,DRp,2,,2,,0.0 ,,97.9 ,,88.5 ,,6.6 ,,6.0 ,,12.5 ,,88.5 ,
,,,,MB,51,,66,,"1,919.1 ",,"2,099.5 ",,"1,918.1 ",,160.0 ,,146.6 ,,"2,761.9 ",,"9,132.3 ",
,,,,VP,8,,10,,0.0 ,,54.0 ,,50.5 ,,1.9 ,,1.8 ,,8.6 ,,250.0 ,
,,,,Total,63,,87,,"1,919.1 ",,"2,255.9 ",,"2,059.9 ",,169.2 ,,154.9 ,,"2,783.5 ",,"9,472.4 ",
