State,Name,ID,Org Type,Mode,TOS, VOMS,Vehicles Available for Maximum Service,,Service Supplied (Thousands),,,,,,,,,,Unlinked Passenger Trips,,,
,,5158,B,MB,DO,35,55,,972.5 ,,"1,086.1 ",,968.7 ,,109.7 ,,101.7 ,,"5,282.8 ",,"12,986.4 ",
MN,City of Moorhead Transit (MAT),,,,,,,,,,,,,,,,,,,,,
,,5026,B,MB,PT,8,12,,297.0 ,,322.2 ,,295.2 ,,21.5 ,,20.6 ,,319.7 ,,854.1 ,
MN,City of Rochester Public Transportation,,,,,,,,,,,,,,,,,,,,,
,,5092,B,DR,PT,4,5,,0.0 ,,186.8 ,,180.1 ,,12.8 ,,12.3 ,,43.1 ,,290.3 ,
,,5092,B,MB,PT,27,38,,853.5 ,,940.5 ,,858.3 ,,67.6 ,,59.8 ,,"1,300.8 ",,"5,164.1 ",
,,,,Total,,31,43,,853.5 ,,"1,127.3 ",,"1,038.4 ",,80.5 ,,72.1 ,,"1,343.9 ",,"5,454.4 ",
MN,Duluth Transit Authority (DTA),,,,,,,,,,,,,,,,,,,,,
,,5025,B,DR,PT,6,10,,0.0 ,,190.5 ,,184.9 ,,17.0 ,Q,16.4 ,,25.3 ,,184.9 ,
,,5025,B,MB,DO,44,72,,"1,800.9 ",,"1,789.5 ",,"1,664.1 ",,133.9 ,,125.9 ,,"2,709.2 ",,"8,534.1 ",
,,,,Total,,50,82,,"1,800.9 ",,"1,980.0 ",,"1,849.0 ",,150.9 ,,142.3 ,,"2,734.5 ",,"8,719.0 ",
MN,Metro Mobility,,,,,,,,,,,,,,,,,,,,,
,,5155,B,DR,PT,257,265,,0.0 ,,"10,739.2 ",,"8,922.9 ",,669.5 ,,567.3 ,,"1,104.9 ",,"11,527.1 ",
MN,Metro Transit,,,,,,,,,,,,,,,,,,,,,
,,5027,A,LR,DO,23,23,,"1,500.5 ",,"1,566.0 ",,"1,547.0 ",,103.6 ,,100.9 ,,"7,901.7 ",,"53,728.6 ",
,,5027,A,MB,DO,709,820,,"23,375.5 ",,"29,967.1 ",,"24,337.0 ",,"2,257.7 ",,"2,011.1 ",,"61,797.1 ",,"255,948.7 ",
,,,,Total,,732,843,,"24,876.1 ",,"31,533.0 ",,"25,884.1 ",,"2,361.3 ",,"2,112.0 ",,"69,698.8 ",,"309,677.3 ",
MN,Metropolitan Council,,,,,,,,,,,,,,,,,,,,,
,,5154,E,DR,PT,194,293,,0.0 ,,"4,291.2 ",,"3,695.7 ",,287.9 ,,250.8 ,,780.7 ,,"5,462.2 ",
,,5154,E,MB,PT,261,359,,"6,252.3 ",,"9,093.2 ",,"6,197.6 ",,513.9 ,,379.0 ,,"9,306.1 ",,"62,138.0 ",
,,5154,E,VP,PT,59,63,,0.0 ,,952.8 ,,952.8 ,,22.7 ,,22.7 ,,131.2 ,,"4,667.5 ",
,,,,Total,,514,715,,"6,252.3 ",,"14,337.1 ",,"10,846.1 ",,824.6 ,,652.6 ,,"10,218.1 ",,"72,267.7 ",
MN,St. Cloud Metropolitan Transit Commission (Metro Bus),,,,,,,,,,,,,,,,,,,,,
,,5028,A,DR,DO,13,17,,0.0 ,,473.3 ,,441.4 ,,36.9 ,,35.5 ,,131.2 ,,488.2 ,
,,5028,A,MB,DO,25,29,,978.3 ,,"1,035.2 ",,977.1 ,,75.5 ,,69.4 ,,"1,723.2 ",,"5,549.6 ",
,,,,Total,,38,46,,978.3 ,,"1,508.5 ",,"1,418.5 ",,112.4 ,,104.8 ,,"1,854.4 ",,"6,037.7 ",
MO,Bi-State Development Agency (METRO),,,,,,,,,,,,,,,,,,,,,
,,7006,A,DR,DO,100,119,,0.0 ,,"6,214.8 ",,"5,176.8 ",,380.5 ,Q,303.7 ,Q,676.0 ,,"6,486.4 ",
,,7006,A,LR,DO,34,71,,"4,448.6 ",,"4,465.1 ",,"4,440.2 ",,174.6 ,,172.3 ,,"15,648.2 ",,"117,724.6 ",
,,7006,A,MB,DO,337,463,,"16,419.3 ",,"19,692.2 ",,"16,403.7 ",,"1,395.1 ",,"1,250.4 ",,"30,113.8 ",,"129,193.9 ",
,,,,Total,,471,653,,"20,867.9 ",,"30,372.0 ",,"26,020.7 ",,"1,950.1 ",,"1,726.5 ",,"46,438.0 ",,"253,404.8 ",
MO,City of Jefferson (JEFFTRAN),,,,,,,,,,,,,,,,,,,,,
,,7043,A,DR,DO,6,8,,0.0 ,,193.0 ,,189.0 ,,12.3 ,,12.1 ,,57.4 ,,304.5 ,
,,7043,A,MB,DO,14,16,,341.1 ,,344.8 ,,340.4 ,,24.7 ,,24.4 ,,347.1 ,,"1,115.1 ",
,,,,Total,,20,24,,341.1 ,,537.8 ,,529.4 ,,37.0 ,,36.5 ,,404.5 ,,"1,419.6 ",
MO,City Utilities of Springfield Transit Services (The Bus),,,,,,,,,,,,,,,,,,,,,
,,7003,A,DR,DO,4,5,,0.0 ,,140.0 ,,129.8 ,,9.6 ,,8.7 ,,18.1 ,,129.7 ,
,,7003,A,MB,DO,19,26,,"1,046.2 ",,"1,045.5 ",,"1,026.6 ",,73.8 ,,72.4 ,,"1,570.4 ",,"6,448.6 ",
,,,,Total,,23,31,,"1,046.2 ",,"1,185.5 ",,"1,156.4 ",,83.4 ,,81.1 ,,"1,588.4 ",,"6,578.3 ",
MO,Columbia Transit (CT),,,,,,,,,,,,,,,,,,,,,
,,7016,A,DR,DO,4,8,,0.0 ,,137.3 ,,131.4 ,,14.0 ,Q,13.4 ,Q,23.2 ,,110.8 ,
,,7016,A,MB,DO,11,16,,408.9 ,,444.6 ,,408.9 ,,34.2 ,,32.3 ,,517.0 ,,"1,981.8 ",
,,,,Total,,15,24,,408.9 ,,581.9 ,,540.3 ,,48.2 ,,45.6 ,,540.2 ,,"2,092.6 ",
MO,Kansas City Area Transportation Authority (KCATA),,,,,,,,,,,,,,,,,,,,,
,,7005,B,DR,DO,11,45,,0.0 ,,737.7 ,,604.8 ,,49.4 ,Q,35.9 ,Q,165.3 ,,"1,033.3 ",
,,7005,B,DR,PT,82,133,,0.0 ,,"3,175.7 ",,"1,555.0 ",,181.4 ,,68.3 ,,244.8 ,,"1,697.3 ",
,,7005,B,MB,DO,220,301,,"8,427.8 ",,"9,588.3 ",Q,"8,417.8 ",Q,681.9 ,,630.5 ,,"13,615.2 ",,"49,974.1 ",
,,7005,B,VP,DO,30,36,,0.0 ,,523.2 ,,523.2 ,,12.5 ,,12.5 ,,70.5 ,,"2,519.6 ",
,,,,Total,,343,515,,"8,427.8 ",,"14,024.9 ",,"11,100.7 ",,925.2 ,,747.2 ,,"14,095.9 ",,"55,224.2 ",
MO,Missouri State University (SMSU),,,,,,,,,,,,,,,,,,,,,
,,7036,B,MB,PT,10,16,,189.7 ,,202.0 ,,189.7 ,,23.1 ,,21.8 ,,756.5 ,,0.0 ,W
MO,St. Joseph Transit (The Ride),,,,,,,,,,,,,,,,,,,,,
,,7032,A,MB,DO,17,20,,575.6 ,,714.2 ,,677.0 ,,71.0 ,,66.8 ,,289.6 ,,"1,377.7 ",
MS,City of Jackson Transit System (JATRAN),,,,,,,,,,,,,,,,,,,,,
,,4015,A,DR,DO,8,15,,0.0 ,,298.0 ,Q,298.0 ,Q,23.6 ,Q,23.6 ,Q,33.3 ,,298.0 ,Q
,,4015,A,MB,DO,27,37,,"1,013.7 ",,"1,030.4 ",Q,948.5 ,Q,63.2 ,Q,59.6 ,Q,761.8 ,Q,"1,179.1 ",
,,,,Total,,35,52,,"1,013.7 ",,"1,328.5 ",,"1,246.5 ",,86.8 ,,83.2 ,,795.0 ,,"1,477.2 ",
MS,Coast Transit Authority (CTA),,,,,,,,,,,,,,,,,,,,,
,,4014,A,DR,DO,13,17,,0.0 ,,349.1 ,,326.1 ,,22.9 ,,21.7 ,,73.0 ,,844.1 ,
,,4014,A,MB,DO,18,23,,722.8 ,,802.6 ,,749.8 ,,66.6 ,,59.4 ,,490.7 ,,"1,938.3 ",
,,,,Total,,31,40,,722.8 ,,"1,151.7 ",,"1,075.9 ",,89.5 ,,81.1 ,,563.7 ,,"2,782.4 ",
MT,Billings Metropolitan Transit (Billings MET Transit),,,,,,,,,,,,,,,,,,,,,
,,8004,A,DR,DO,11,15,,0.0 ,,217.0 ,,178.6 ,,18.6 ,,15.6 ,,68.2 ,,383.1 ,
,,8004,A,MB,DO,20,23,,627.3 ,,647.8 ,,626.8 ,,39.5 ,,38.3 ,,653.9 ,,"2,125.7 ",
,,,,Total,,31,38,,627.3 ,,864.9 ,,805.5 ,,58.1 ,,53.9 ,,722.0 ,,"2,508.8 ",
MT,Great Falls Transit District (GFTD),,,,,,,,,,,,,,,,,,,,,
,,8012,A,DR,DO,6,9,,0.0 ,,116.6 ,,102.4 ,,12.5 ,,12.1 ,,24.1 ,,60.2 ,
,,8012,A,MB,DO,13,20,,387.2 ,,451.0 ,,420.9 ,,35.5 ,,33.8 ,,431.4 ,,776.6 ,
,,,,Total,,19,29,,387.2 ,,567.6 ,,523.3 ,,48.1 ,,45.9 ,,455.5 ,,836.8 ,
MT,Missoula Urban Transportation District (Mountain Line),,,,,,,,,,,,,,,,,,,,,
,,8009,A,DR,DO,4,5,,0.0 ,,118.3 ,,116.0 ,,9.2 ,,9.0 ,,21.8 ,,90.3 ,
,,8009,A,MB,DO,16,20,,544.0 ,,568.8 ,,554.9 ,,37.7 ,,36.9 ,,644.5 ,,"2,658.4 ",
,,,,Total,,20,25,,544.0 ,,687.1 ,,670.8 ,,46.9 ,,45.9 ,,666.2 ,,"2,748.7 ",
NC,Asheville Transit System (ATS),,,,,,,,,,,,,,,,,,,,,
,,4005,B,DR,PT,6,36,,0.0 ,,193.5 ,,193.5 ,,11.6 ,,11.6 ,,24.1 ,,138.4 ,
,,4005,B,MB,DO,16,19,,833.5 ,,838.2 ,,823.3 ,,57.1 ,,56.1 ,,"1,059.3 ",,"4,270.5 ",
,,,,Total,,22,55,,833.5 ,,"1,031.7 ",,"1,016.8 ",,68.7 ,,67.8 ,,"1,083.4 ",,"4,409.0 ",
NC,Cape Fear Public Transportation Authority (Wave),,,,,,,,,,,,,,,,,,,,,
,,4006,A,DR,DO,2,4,,0.0 ,,13.3 ,,9.2 ,,0.6 ,,0.4 ,,1.6 ,,9.2 ,Q
,,4006,A,MB,DO,25,33,,"1,139.1 ",,"1,165.7 ",,"1,137.5 ",,94.8 ,,93.2 ,,"1,230.0 ",,"3,111.2 ",
,,,,Total,,27,37,,"1,139.1 ",,"1,179.0 ",,"1,146.7 ",,95.4 ,,93.6 ,,"1,231.6 ",,"3,120.4 ",
NC,Capital Area Transit (CAT),,,,,,,,,,,,,,,,,,,,,
,,4007,B,DR,DO,7,18,,0.0 ,,219.3 ,,195.8 ,,15.6 ,,14.2 ,,155.7 ,,751.7 ,
,,4007,B,MB,DO,46,68,,"1,985.8 ",,"2,165.0 ",,"1,984.2 ",,160.3 ,,150.1 ,,"3,546.8 ",,"13,387.7 ",
,,,,Total,,53,86,,"1,985.8 ",,"2,384.3 ",,"2,180.1 ",,175.9 ,,164.3 ,,"3,702.4 ",,"14,139.3 ",
NC,Chapel Hill Transit (CHT),,,,,,,,,,,,,,,,,,,,,
,,4051,A,DR,DO,11,14,,0.0 ,,370.7 ,Q,328.9 ,,29.4 ,Q,23.4 ,,72.7 ,,358.9 ,
,,4051,A,MB,DO,77,83,,"1,841.3 ",,"2,009.7 ",,"1,841.3 ",,160.9 ,,148.6 ,,"5,711.1 ",,"14,620.3 ",Q
,,,,Total,,88,97,,"1,841.3 ",,"2,380.5 ",,"2,170.2 ",,190.3 ,,172.0 ,,"5,783.8 ",,"14,979.2 ",
NC,Charlotte Area Transit System (CATS),,,,,,,,,,,,,,,,,,,,,
,,4008,B,DR,DO,75,111,,0.0 ,,"2,490.7 ",,"2,158.4 ",,170.1 ,,151.5 ,,287.8 ,,"2,580.2 ",
,,4008,B,LR,DO,2,4,,30.6 ,,30.9 ,,30.9 ,,7.5 ,,7.5 ,,330.0 ,,604.1 ,
,,4008,B,MB,DO,247,312,,"10,610.8 ",,"11,682.3 ",,"10,609.9 ",,795.4 ,,740.2 ,,"16,778.7 ",,"73,198.3 ",
,,4008,B,MB,PT,8,10,,482.6 ,,534.4 ,,505.6 ,,30.8 ,,29.7 ,,203.7 ,,904.4 ,
,,4008,B,VP,DO,63,86,,0.0 ,,"1,687.1 ",,"1,660.6 ",,33.6 ,,33.2 ,,241.3 ,,"12,260.7 ",
,,,,Total,,395,523,,"11,124.0 ",,"16,425.4 ",,"14,965.4 ",,"1,037.4 ",,962.1 ,,"17,841.5 ",,"89,547.7 ",
NC,Durham Area Transit Authority (DATA),,,,,,,,,,,,,,,,,,,,,
,,4087,B,DR,PT,29,42,,0.0 ,,671.9 ,,609.4 ,,40.3 ,,37.0 ,,75.9 ,,528.9 ,
,,4087,B,MB,PT,37,49,,"2,265.6 ",,"2,444.9 ",,"2,265.1 ",,171.5 ,,162.3 ,,"4,443.6 ",,"18,043.2 ",
,,,,Total,,66,91,,"2,265.6 ",,"3,116.8 ",,"2,874.5 ",,211.8 ,,199.4 ,,"4,519.4 ",,"18,572.1 ",
NC,Fayetteville Area System of Transit (FAST),,,,,,,,,,,,,,,,,,,,,
,,4009,A,DR,DO,9,15,,0.0 ,,462.2 ,,346.5 ,,19.6 ,,15.6 ,,41.7 ,,397.7 ,
,,4009,A,MB,DO,16,21,,788.1 ,,819.3 ,,786.6 ,,59.9 ,,58.3 ,,"1,340.1 ",,"3,993.5 ",
,,,,Total,,25,36,,788.1 ,,"1,281.5 ",,"1,133.1 ",,79.5 ,,74.0 ,,"1,381.8 ",,"4,391.2 ",
NC,Greensboro Transit Authority (GTA),,,,,,,,,,,,,,,,,,,,,
,,4093,B,DR,PT,28,32,,0.0 ,,"1,121.1 ",,"1,055.6 ",,64.7 ,,60.2 ,,155.2 ,,"1,479.1 ",
,,4093,B,MB,PT,25,32,,"1,316.4 ",,"1,330.3 ",,"1,320.4 ",,107.8 ,,105.3 ,,"2,736.5 ",,"9,687.5 ",
,,,,Total,,53,64,,"1,316.4 ",,"2,451.3 ",,"2,376.1 ",,172.5 ,,165.6 ,,"2,891.7 ",,"11,166.5 ",
NC,Guildford County Transportation (GCT),,,,,,,,,,,,,,,,,,,,,
,,4133,B,DR,PT,40,44,,0.0 ,,"1,736.4 ",,"1,684.2 ",,94.6 ,,92.2 ,,241.7 ,,"1,570.8 ",
NC,High Point Transit (Hi tran),,,,,,,,,,,,,,,,,,,,,
,,4011,B,DR,DO,3,3,,0.0 ,,61.4 ,,61.4 ,Q,5.8 ,,5.8 ,Q,18.8 ,,58.2 ,
,,4011,B,DR,PT,3,11,,0.0 ,,59.3 ,,59.3 ,,7.3 ,,7.3 ,,16.9 ,,57.6 ,
,,4011,B,MB,DO,11,15,,396.3 ,,413.8 ,,407.8 ,,30.0 ,,29.7 ,,675.9 ,,"1,520.7 ",
,,,,Total,,17,29,,396.3 ,,534.4 ,,528.4 ,,43.0 ,,42.7 ,,711.6 ,,"1,636.5 ",
NC,NC State University Transportation Department,,,,,,,,,,,,,,,,,,,,,
,,4147,B,MB,PT,23,25,,524.8 ,,548.2 ,,524.4 ,,54.7 ,,53.9 ,,"1,767.2 ",,"2,323.2 ",
NC,Research Triangle Regional Public Transportation Authority (TTA),,,,,,,,,,,,,,,,,,,,,
,,4108,A,DR,DO,5,5,,0.0 ,,213.4 ,,164.9 ,,7.7 ,,6.2 ,,10.8 ,,182.8 ,
,,4108,A,MB,DO,49,67,,"1,862.4 ",,"2,474.0 ",,"1,807.8 ",,118.4 ,,90.5 ,,780.3 ,,"7,257.7 ",
,,4108,A,VP,DO,58,67,,0.0 ,,"1,004.0 ",,961.3 ,,25.1 ,,24.1 ,,375.5 ,,"10,866.5 ",
,,,,Total,,112,139,,"1,862.4 ",,"3,691.4 ",,"2,934.0 ",,151.2 ,,120.7 ,,"1,166.6 ",,"18,307.1 ",
NC,Town of Cary (CTRAN),,,,,,,,,,,,,,,,,,,,,
,,4143,B,DR,PT,16,18,,0.0 ,,544.8 ,,447.1 ,,34.7 ,,28.9 ,,52.7 ,,367.2 ,
NC,Winston-Salem Transit Authority - Trans-Aid of Forsyth County (WSTA),,,,,,,,,,,,,,,,,,,,,
,,4012,A,DR,DO,18,21,,0.0 ,,666.9 ,,582.4 ,,41.1 ,,38.4 ,,117.4 ,,510.6 ,
,,4012,A,MB,DO,33,50,,"1,567.0 ",,"1,680.6 ",,"1,635.4 ",,123.4 ,,121.5 ,,"2,727.7 ",,"5,543.3 ",
,,,,Total,,51,71,,"1,567.0 ",,"2,347.4 ",,"2,217.8 ",,164.6 ,,159.9 ,,"2,845.1 ",,"6,053.9 ",
ND,Bis-Man Transit Board (CAT),,,,,,,,,,,,,,,,,,,,,
,,8019,B,DR,PT,31,31,,0.0 ,,734.0 ,,734.0 ,,54.8 ,,54.8 ,,190.5 ,,720.8 ,
,,8019,B,MB,PT,8,9,,284.1 ,,284.1 ,,279.6 ,,21.0 ,,20.7 ,,90.7 ,,308.0 ,
,,,,Total,,39,40,,284.1 ,,"1,018.1 ",,"1,013.6 ",,75.8 ,,75.5 ,,281.2 ,,"1,028.8 ",
ND,Cities Area Transit (CAT),,,,,,,,,,,,,,,,,,,,,
,,8008,B,DR,DO,2,2,,0.0 ,,39.0 ,,37.5 ,,3.7 ,,3.0 ,,13.2 ,,22.6 ,
,,8008,B,DR,PT,11,11,,0.0 ,,285.7 ,,246.4 ,,17.6 ,,13.2 ,,44.6 ,,172.9 ,
,,8008,B,MB,DO,7,12,,292.9 ,,329.0 ,,299.9 ,,21.5 ,,20.4 ,,256.2 ,,355.4 ,
,,,,Total,,20,25,,292.9 ,,653.7 ,,583.7 ,,42.8 ,,36.6 ,,314.0 ,,550.9 ,
ND,Fargo Metropolitan Area Transit (MAT),,,,,,,,,,,,,,,,,,,,,
,,8003,B,DR,PT,8,8,,0.0 ,,225.7 ,,214.0 ,,17.6 ,,16.6 ,,40.9 ,,188.2 ,
,,8003,B,MB,PT,12,15,,534.6 ,,561.0 ,,527.4 ,,43.6 ,,41.4 ,,837.7 ,,"2,394.8 ",
,,,,Total,,20,23,,534.6 ,,786.7 ,,741.4 ,,61.2 ,,58.0 ,,878.5 ,,"2,583.0 ",
NE,StarTran (StarTran),,,,,,,,,,,,,,,,,,,,,
,,7001,B,DR,DO,7,9,,0.0 ,,212.3 ,Q,211.2 ,,16.4 ,Q,14.2 ,,30.5 ,,185.4 ,
,,7001,B,DR,PT,11,45,,0.0 ,,105.7 ,Q,93.6 ,Q,5.5 ,,4.6 ,Q,19.0 ,,96.4 ,
,,7001,B,MB,DO,50,60,,"1,407.0 ",,"1,537.7 ",,"1,407.1 ",,118.6 ,,109.3 ,,"1,599.2 ",,"4,999.2 ",
,,,,Total,,68,114,,"1,407.0 ",,"1,855.7 ",,"1,712.0 ",,140.6 ,,128.1 ,,"1,648.7 ",,"5,280.9 ",
NE,Transit Authority of Omaha (MAT),,,,,,,,,,,,,,,,,,,,,
,,7002,A,DR,DO,12,20,,0.0 ,,463.4 ,,421.1 ,,30.0 ,,27.1 ,,45.8 ,Q,290.5 ,
,,7002,A,MB,DO,99,143,,"3,782.7 ",,"3,797.4 ",,"3,776.4 ",,277.4 ,,276.3 ,,"4,625.7 ",,"15,209.3 ",
,,,,Total,,111,163,,"3,782.7 ",,"4,260.9 ",,"4,197.4 ",,307.5 ,,303.5 ,,"4,671.5 ",,"15,499.8 ",
NH,Cooperative Alliance for Seacoast Transportation (COAST),,,,,,,,,,,,,,,,,,,,,
,,1086,B,DR,DO,1,5,,0.0 ,,29.5 ,,6.7 ,,1.4 ,,0.4 ,,1.6 ,,7.3 ,
,,1086,B,MB,DO,11,16,,438.5 ,,497.1 ,,438.2 ,,29.2 ,,26.9 ,,282.0 ,,"2,275.6 ",
,,1086,B,MB,PT,4,6,,43.7 ,,75.0 ,,43.7 ,,5.7 ,,4.4 ,,31.9 ,,350.0 ,
,,,,Total,,16,27,,482.2 ,,601.6 ,,488.6 ,,36.3 ,,31.7 ,,315.5 ,,"2,632.9 ",
NH,Manchester Transit Authority (MTA),,,,,,,,,,,,,,,,,,,,,
,,1002,A,DR,DO,4,5,,0.0 ,,70.6 ,,61.3 ,,7.8 ,,7.0 ,,11.1 ,,43.1 ,
,,1002,A,MB,DO,13,15,,482.6 ,,500.9 ,,482.6 ,,37.1 ,,35.7 ,,412.4 ,,"1,274.1 ",
,,,,Total,,17,20,,482.6 ,,571.5 ,,543.9 ,,44.9 ,,42.6 ,,423.5 ,,"1,317.3 ",
NH,Nashua Transit System (NTS),,,,,,,,,,,,,,,,,,,,,
,,1087,B,DR,PT,10,12,,0.0 ,,244.5 ,,222.6 ,,16.8 ,,14.5 ,,38.3 ,,275.4 ,
,,1087,B,MB,PT,5,6,,255.9 ,,244.6 ,,235.8 ,,21.9 ,,20.6 ,,315.5 ,,"1,545.8 ",
,,,,Total,,15,18,,255.9 ,,489.1 ,,458.3 ,,38.7 ,,35.1 ,,353.7 ,,"1,821.2 ",
NJ, Cumberland County Office on Aging (CCOOA),,,,,,,,,,,,,,,,,,,,,
,,2155,A,DR,DO,25,36,,0.0 ,,759.3 ,Q,683.7 ,Q,55.6 ,Q,53.4 ,Q,147.8 ,,683.7 ,Q
NJ,"Academy Lines, Inc.",,,,,,,,,,,,,,,,,,,,,
,,2122,E,MB,DO,237,267,,"7,964.0 ",,"8,949.6 ",,"7,885.0 ",,347.7 ,,316.1 ,,"3,627.4 ",,"239,829.7 ",
NJ,"Community Transit, Inc. (Community Transit)",,,,,,,,,,,,,,,,,,,,,
,,2160,D,MB,DO,21,23,,924.2 ,,"1,164.8 ",,920.1 ,,75.9 ,,67.8 ,,595.9 ,,"14,992.5 ",
NJ,DeCamp Bus Lines,,,,,,,,,,,,,,,,,,,,,
,,2161,D,MB,DO,57,80,,"2,303.9 ",,"2,317.4 ",,"1,709.2 ",,147.4 ,,108.8 ,,"2,195.3 ",,"48,718.3 ",
NJ,"Hudson Transit Lines, Inc. (Short Line)",,,,,,,,,,,,,,,,,,,,,
,,2126,E,MB,DO,159,188,,"8,634.3 ",,"8,947.7 ",,"8,613.1 ",,197.5 ,,191.4 ,,"3,245.9 ",,"170,844.0 ",
NJ,"Lakeland Bus Lines, Inc.",,,,,,,,,,,,,,,,,,,,,
,,2163,E,MB,DO,57,66,,"2,915.9 ",,"3,437.7 ",,"2,910.7 ",,96.6 ,,83.2 ,,"1,872.1 ",,"48,214.6 ",
NJ,New Jersey Transit Corporation (NJ TRANSIT),,,,,,,,,,,,,,,,,,,,,
,,2080,B,CR,DO,863,"1,092",,"56,440.9 ",,"61,880.8 ",,"56,124.8 ",,"2,042.3 ",,"1,887.6 ",,"70,837.6 ",,"1,917,085.9 ",
,,2080,B,CR,PT,45,49,,"1,274.1 ",,"1,197.1 ",,"1,197.1 ",,23.2 ,,23.2 ,,"1,776.2 ",,"65,226.5 ",
,,2080,B,DR,PT,292,318,,0.0 ,,"10,893.6 ",,"9,125.4 ",,681.3 ,,592.5 ,,"1,034.0 ",,"8,470.1 ",
,,2080,B,LR,DO,14,17,,574.5 ,,582.9 ,,574.5 ,,52.8 ,,50.2 ,,"5,294.5 ",,"13,706.7 ",
,,2080,B,LR,PT,35,47,,"2,085.2 ",,"2,085.2 ",,"2,085.2 ",,142.4 ,,142.4 ,,"8,407.1 ",,"49,074.1 ",
,,2080,B,MB,DO,"1,731","2,029",,"67,348.0 ",,"85,780.9 ",,"66,999.0 ",,"5,402.3 ",,"4,551.9 ",,"143,772.0 ",,"937,967.7 ",
,,2080,B,MB,PT,246,287,,"8,769.5 ",,"9,591.7 ",,"8,730.0 ",,665.9 ,,632.7 ,,"12,374.6 ",,"49,802.0 ",
,,2080,B,VP,PT,155,155,,0.0 ,,"3,503.4 ",,"3,503.4 ",,94.2 ,,94.2 ,,588.4 ,,"23,937.1 ",
,,,,Total,,"3,381","3,994",,"136,492.2 ",,"175,515.6 ",,"148,339.3 ",,"9,104.4 ",,"7,974.7 ",,"244,084.4 ",,"3,065,270.2 ",
NJ,New Jersey Transit Corporation-45 (NJTC-45),,,,,,,,,,,,,,,,,,,,,
,,2132,E,MB,DO,44,48,,"1,098.6 ",,"1,102.7 ",,"1,085.7 ",,68.3 ,,67.4 ,,"3,770.8 ",,"7,546.2 ",
NJ,"Olympia Trails Bus Company, Inc. (Coach USA)",,,,,,,,,,,,,,,,,,,,,
,,2165,D,MB,DO,21,39,,"1,329.2 ",,"1,318.2 ",,"1,282.5 ",,94.2 ,,92.3 ,,672.5 ,,"12,578.2 ",
NJ,"Orange-Newark-Elizabeth, Inc. (Coach USA)",,,,,,,,,,,,,,,,,,,,,
,,2166,D,MB,DO,58,67,,"2,297.6 ",,"2,429.9 ",,"2,274.2 ",,267.3 ,,255.5 ,,"12,394.4 ",,"39,662.1 ",
NJ,Port Authority Trans-Hudson Corporation (PATH),,,,,,,,,,,,,,,,,,,,,
,,2098,B,FB,PT,9,9,,177.0 ,,177.0 ,,177.0 ,,18.1 ,,18.1 ,,"2,136.4 ",,"5,776.7 ",
,,2098,B,HR,DO,252,327,,"13,405.2 ",,"13,360.5 ",,"12,691.0 ",,880.9 ,,683.4 ,,"69,168.8 ",,"301,282.5 ",
,,,,Total,,261,336,,"13,582.1 ",,"13,537.5 ",,"12,868.0 ",,899.0 ,,701.5 ,,"71,305.2 ",,"307,059.2 ",
NJ,Port Authority Transit Corporation (PATCO),,,,,,,,,,,,,,,,,,,,,
,,2075,A,HR,DO,84,121,,"4,003.3 ",,"4,226.4 ",Q,"3,969.0 ",Q,145.7 ,Q,136.9 ,Q,"9,362.8 ",,"80,676.9 ",
NJ,"Rockland Coaches, Inc.",,,,,,,,,,,,,,,,,,,,,
,,2149,E,MB,DO,88,115,,"4,355.8 ",,"5,352.5 ",,"4,308.4 ",,239.6 ,,184.5 ,,"4,328.6 ",,"76,105.9 ",
NJ,Suburban Transit Corporation (Coach USA),,,,,,,,,,,,,,,,,,,,,
,,2128,E,MB,DO,118,127,,"6,276.8 ",,"7,001.3 ",,"6,251.8 ",,354.9 ,,339.4 ,,"3,641.3 ",,"126,427.2 ",
NJ,Trans-Hudson Express,,,,,,,,,,,,,,,,,,,,,
,,2168,D,MB,DO,68,98,,"2,901.4 ",,"2,963.2 ",,"2,878.4 ",,270.5 ,,264.5 ,,"7,711.3 ",,"48,965.4 ",
NM,ABQ Ride,,,,,,,,,,,,,,,,,,,,,
,,6019,A,DR,DO,50,56,,0.0 ,,"1,959.9 ",,"1,662.3 ",Q,112.2 ,,93.6 ,,189.9 ,,"1,662.3 ",Q
,,6019,A,MB,DO,150,155,,"4,098.3 ",,"5,120.5 ",,"4,127.2 ",,315.3 ,,254.9 ,,"7,686.6 ",,"19,725.0 ",Q
,,,,Total,,200,211,,"4,098.3 ",,"7,080.4 ",,"5,789.5 ",,427.5 ,,348.5 ,,"7,876.5 ",,"21,387.3 ",
NM,Las Cruces Area Transit (RoadRunner),,,,,,,,,,,,,,,,,,,,,
,,6049,A,DR,DO,10,11,,0.0 ,,219.2 ,,180.1 ,,17.7 ,,15.0 ,,55.4 ,,139.1 ,
,,6049,A,MB,DO,9,17,,394.3 ,,402.3 ,,390.1 ,,31.9 ,,31.4 ,,614.6 ,,"2,137.9 ",
,,,,Total,,19,28,,394.3 ,,621.5 ,,570.1 ,,49.5 ,,46.4 ,,670.0 ,,"2,277.0 ",
NM,Santa Fe Trails - City of Santa Fe (SFT),,,,,,,,,,,,,,,,,,,,,
,,6077,B,DR,PT,17,38,,0.0 ,,509.4 ,,264.2 ,,49.7 ,,21.4 ,,66.4 ,,255.4 ,
